Id,Name,Address,Phone
1,Pfizer,"123 Main Street, New York",555-123-4567
2,Roche,"456 Elm Street, Basel",555-987-6543
3,Merck,"789 Oak Street, Darmstadt",555-345-6789
4,Novartis,"567 Maple Street, Basel",555-234-5678
5,AstraZeneca,"654 Pine Street, Cambridge",555-876-5432
6,"Johnson & Johnson","321 Birch Street, New Brunswick",555-432-3456
7,Sanofi,"987 Cedar Street, Paris",555-654-1234
8,GlaxoSmithKline,"432 Willow Street, London",555-765-4321
9,Genfar,"876 Redwood Street, Bogotá",555-234-7654
10,Bayer,"234 Spruce Street, Leverkusen",555-987-3210
